FIPS,State,County,% Fair or Poor Health,95% CI - Low...73,95% CI - High...74,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,National Z-Score...90,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,National Z-Score...94,# Dentists,Dentist Rate,Dentist Ratio,National Z-Score...98,Preventable Hospitalization Rate,# Uninsured,% Uninsured,% Long Commute - Drives Alone,% Unemployed,National Z-Score...181,80th Percentile Income,20th Percentile Income,Income Ratio,National Z-Score...185
39000,Ohio,NA,17.9,17,18.8,8868,75.28003,1328:1,NA,41176,349.36557999999997,286:1,NA,7660,65.1579,1535:1,NA,3033,667791,7.0965164752,30.5,3.5349348861,NA,136245,29320,4.6468281037,NA
39001,Ohio,Adams,23.4,21.1,25.9,12,43.56982,2295:1,0.2916794376,65,236.18328000000002,423:1,-0.106914979,11,40.1167,2493:1,0.2555481078,4230,1973,8.8805869379,47.5,5.0490504905,1.1929258512,105636,19336,5.4631774928,1.1207050996
39003,Ohio,Allen,21.7,19.6,23.9,66,64.9159,1540:1,-0.297177934,314,311.39054999999996,321:1,-0.430607493,63,62.3053,1605:1,-0.393875278,3632,5424,6.816125465,19.3,3.7209996588,0.0985755732,116739,27865,4.1894491297,-0.472756519
39005,Ohio,Ashland,20.2,18.2,22.3,23,43.96361,2275:1,0.2808164013,134,256.75417,389:1,-0.195452204,22,42.160940000000004,2372:1,0.195716684,3165,3140,7.7185909884,32.7,3.4354111612,-0.136757175,111933,30475,3.6729450369,-1.118914265
39007,Ohio,Ashtabula,21.5,19.5,23.5,28,28.76604,3476:1,0.7000595258,231,238.52548000000002,419:1,-0.116995824,34,35.04649,2853:1,0.4039449087,3828,7014,9.357989113,35.3,3.9691984599,0.3030981867,105799,24581,4.30409666,-0.329329989
39009,Ohio,Athens,18.3,16.5,20.1,39,62.84646,1591:1,-0.240089858,417,665.00813,150:1,-1.952579596,14,23.73726,4213:1,0.7349472268,2503,3821,8.4072256815,25.5,4.4348629504,0.6868184876,110506,19670,5.6179969497,1.3143875751
39011,Ohio,Auglaize,16.5,14.7,18.4,16,34.67632,2884:1,0.5370173882,32,69.48969,1439:1,0.6105351941,15,32.645599999999995,3063:1,0.4742149489,3485,1989,5.389513616,16.9,2.6326464384,-0.798257305,131729,36245,3.6344047455,-1.167129
39013,Ohio,Belmont,21.9,19.8,24,18,27.33527,3658:1,0.7395291068,167,257.24760000000003,389:1,-0.19757596,31,47.32174,2113:1,0.0446685443,4689,3499,7.2546702328,29.2,4.3584932891,0.6238877938,113181,26046,4.3454273209,-0.277624442
39015,Ohio,Brown,20.8,18.7,22.9,11,25.19353,3969:1,0.7986114382,224,511.68422,195:1,-1.292672591,7,16.02564,6240:1,0.9606536208,3787,2647,7.5318688823,56.3,4.0781043425,0.3928396184,124659,24559,5.0758988558,0.6362111827
39017,Ohio,Butler,18.9,17.1,20.8,203,52.02007,1922:1,0.0585691544,1143,290.80788,344:1,-0.342019559,203,52.26301,1913:1,-0.099954315,3574,20921,6.5518170089,36,3.2054592586,-0.326243844,153048,33837,4.5230960192,-0.055357074
