Location,Fips,2018 Overall SVI Score,Total Population,Housing Units,Occupied Households,Socioeconomic Score,Below Poverty,Unemployed,Income,No HS Diploma,House Composition & Disability Score,Age 65 or older,Age 17 or under,Civilian with a Disability,Single-Parent Household,Minority Status & Language,Minority,"Speak English ""Less than Well""",Housing Type & Transportation,Multi-Unit Structure,Mobile Homes,Crowding,No Vehicle,Group Quarters
"Adams County, Ohio",39001,0.931,"27,878","12,920","10,835",0.9655,"6,230",777,"21,543","3,942",1,"4,711","6,850","5,580","1,205",0.046,"1,005",18,0.7126,157,"3,162",168,"1,121",383
"Allen County, Ohio",39003,0.7701,"103,642","45,063","40,537",0.6207,"14,795","3,070","25,662","7,192",0.8276,"17,319","24,117","15,701","4,595",0.7241,"19,681",387,0.7241,"2,741","1,766",446,"3,406","3,976"
"Ashland County, Ohio",39005,0.5747,"53,477","22,250","20,439",0.4828,"6,769","1,067","25,471","4,033",0.2874,"9,580","12,169","7,352","1,580",0.5517,"2,311",526,0.908,"1,013","1,335",430,"1,411","2,253"
"Ashtabula County, Ohio",39007,1,"98,136","46,107","37,652",0.908,"19,216","3,111","22,817","9,608",0.7126,"17,737","21,911","15,601","3,491",0.6437,"10,156",492,0.977,"2,270","4,037",732,"3,510","3,506"
"Athens County, Ohio",39009,0.9425,"65,936","26,610","22,620",0.8966,"17,212","2,284","20,745","3,827",0.046,"7,964","9,804","10,810","1,690",0.6782,"6,924",285,1,"2,721","4,252",520,"1,848","9,722"
"Auglaize County, Ohio",39011,0.023,"45,784","19,852","18,723",0.069,"3,906",838,"29,908","2,110",0.3333,"7,946","11,125","4,915","1,557",0.1149,"1,931",103,0.0575,699,631,212,884,544
"Belmont County, Ohio",39013,0.4598,"68,472","32,211","26,200",0.5517,"8,738","1,882","26,106","4,832",0.3563,"13,591","13,041","10,462","2,114",0.2184,"4,896",43,0.6552,"1,300","2,856",97,"1,875","4,071"
"Brown County, Ohio",39015,0.5402,"43,679","20,048","17,434",0.6782,"6,818","1,154","25,637","3,814",0.7586,"7,612","10,094","7,108","1,605",0.069,"1,519",64,0.5057,367,"3,266",305,"1,026",591
"Butler County, Ohio",39017,0.5057,"378,294","151,198","138,226",0.2989,"47,601","9,789","30,777","23,331",0.2414,"52,872","90,144","46,200","12,679",0.9425,"69,799","4,242",0.5747,"14,111","3,907","2,047","7,519","11,624"
"Carroll County, Ohio",39019,0.1264,"27,578","13,646","11,126",0.3678,"3,549",611,"28,421","2,233",0.2644,"5,580","5,763","4,019",770,0.092,"1,029",56,0.1839,119,"1,744",121,604,453
"Champaign County, Ohio",39021,0.3563,"38,864","16,793","15,209",0.4483,"4,180","1,180","26,515","2,501",0.5977,"6,904","8,783","6,170","1,334",0.3678,"2,556",104,0.2759,453,"1,113",189,853,850
"Clark County, Ohio",39023,0.977,"135,198","61,310","54,905",0.7356,"20,775","4,768","25,948","11,551",0.977,"25,265","30,713","22,560","6,291",0.8966,"21,361","1,092",0.7816,"3,733","2,588",802,"4,526","3,184"
"Clermont County, Ohio",39025,0.0805,"203,216","82,830","77,181",0.1494,"19,204","4,473","32,900","13,641",0.1149,"30,876","47,954","27,142","5,636",0.3563,"12,890",483,0.2299,"9,232","4,958",963,"3,724","1,919"
"Clinton County, Ohio",39027,0.5632,"41,896","18,178","16,370",0.5747,"5,277","1,275","26,861","3,236",0.7126,"6,750","9,859","6,647","1,670",0.2299,"2,769",70,0.6897,770,"1,153",304,920,"1,221"
"Columbiana County, Ohio",39029,0.6322,"104,003","46,818","41,854",0.7011,"14,639","3,294","25,853","9,076",0.4138,"20,059","21,521","16,240","3,284",0.1954,"6,217",199,0.8851,"1,678","4,473",790,"2,812","3,889"
"Coshocton County, Ohio",39031,0.8621,"36,574","16,455","14,461",0.8506,"5,899","1,037","22,471","3,979",0.7816,"6,761","8,633","5,674","1,194",0.4368,"1,469",215,0.8046,209,"2,225",361,"1,518",463
"Crawford County, Ohio",39033,0.3793,"42,021","20,053","17,755",0.5977,"6,182","1,053","24,513","2,872",0.9195,"8,436","9,219","6,974","1,753",0.1264,"1,928",96,0.1494,658,863,109,"1,208",545
"Cuyahoga County, Ohio",39035,0.8276,"1,253,783","618,792","538,531",0.6667,"221,899","53,245","31,804","93,264",0.4713,"217,416","264,692","186,767","56,132",0.9885,"511,303","22,584",0.7471,"111,711","3,471","6,238","71,178","28,810"
"Darke County, Ohio",39037,0.1149,"51,734","22,844","20,838",0.2874,"5,124","1,213","26,262","3,294",0.6782,"9,780","12,420","7,146","1,653",0.0575,"1,965",55,0.0805,407,"1,000",228,"1,119",654
"Defiance County, Ohio",39039,0.2644,"38,279","16,807","15,213",0.1609,"4,032",917,"28,491","2,072",0.3448,"6,728","8,900","4,857","1,361",0.7586,"5,156",191,0.2069,612,"1,080",126,881,593
"Delaware County, Ohio",39041,0.0345,"197,008","71,959","68,649",0,"8,843","2,824","47,183","4,222",0.0575,"25,025","53,232","15,539","4,523",0.8621,"28,102","1,257",0.046,"3,930","1,300",468,"1,696","2,621"
"Erie County, Ohio",39043,0.3678,"75,136","37,859","31,301",0.2529,"8,858","2,050","31,677","4,331",0.5287,"15,642","15,464","11,014","2,805",0.7816,"12,551",321,0.2644,"2,883","1,218",170,"2,135","1,276"
"Fairfield County, Ohio",39045,0.3103,"152,910","60,573","55,748",0.1034,"14,142","3,327","31,136","7,872",0.3908,"23,108","37,048","20,591","5,177",0.8506,"20,412",977,0.3563,"2,946","1,738",944,"2,894","2,982"
"Fayette County, Ohio",39047,0.7126,"28,645","12,760","11,736",0.7816,"4,764",797,"24,931","2,713",0.9655,"4,858","6,849","4,709","1,375",0.6207,"2,121",161,0.1609,289,754,105,800,371
"Franklin County, Ohio",39049,0.6437,"1,275,333","550,659","504,702",0.3563,"203,044","36,557","32,552","76,705",0.2759,"146,002","299,072","142,488","54,181",1,"464,012","27,767",0.8161,"79,120","5,107","10,687","38,474","28,169"
"Fulton County, Ohio",39051,0.2759,"42,305","17,520","16,425",0.2069,"3,919","1,044","28,411","2,527",0.4828,"7,070","10,131","5,644","1,490",0.7931,"4,578",293,0.1149,289,"1,324",276,565,474
"Gallia County, Ohio",39053,0.7816,"30,195","13,892","11,662",0.8736,"6,608",657,"22,588","3,769",0.5402,"5,450","6,916","6,203",792,0.1609,"1,979",31,0.8621,233,"3,305",227,858,838
"Geauga County, Ohio",39055,0.1494,"93,961","37,075","35,285",0.0575,"5,642","1,453","42,149","6,077",0.2184,"17,977","22,073","9,889","1,450",0.4483,"4,095",571,0.4368,"1,097","1,105",731,"3,234","1,027"
"Greene County, Ohio",39057,0.2184,"165,811","69,878","65,406",0.1839,"19,065","4,550","34,682","7,391",0.0345,"27,076","34,242","20,911","5,346",0.8736,"26,615","1,125",0.3793,"6,172",764,647,"3,397","9,104"
"Guernsey County, Ohio",39059,0.8736,"39,274","19,285","16,098",0.8851,"7,815","1,254","23,599","3,865",0.9425,"7,326","8,775","6,874","1,674",0.1609,"2,231",66,0.7701,688,"2,980",251,"1,302",534
"Hamilton County, Ohio",39061,0.6782,"812,037","378,837","339,966",0.4023,"128,930","26,167","34,125","49,310",0.2874,"119,690","187,979","99,713","36,076",0.977,"280,079","9,430",0.8506,"64,050","3,061","5,578","40,081","18,436"
"Hancock County, Ohio",39063,0.2414,"75,690","34,030","31,887",0.1264,"8,545","1,718","30,794","3,999",0.092,"12,284","17,000","8,424","2,672",0.6897,"8,090",372,0.5632,"2,479","2,237",243,"2,107","1,944"
"Hardin County, Ohio",39065,0.5977,"31,542","13,187","11,495",0.7586,"4,880",893,"22,329","2,022",0.1379,"4,805","7,371","4,558",813,0.3333,"1,532",109,0.8966,531,"1,076",179,754,"2,297"
"Harrison County, Ohio",39067,0.7471,"15,307","8,111","6,200",0.7931,"2,545",381,"24,108","1,568",0.5517,"3,118","3,222","2,820",443,0.5057,770,87,0.6437,76,"1,308",101,525,270
"Henry County, Ohio",39069,0.1609,"27,316","12,071","11,065",0.1379,"2,593",588,"28,328","1,302",0.7701,"4,811","6,440","3,546","1,187",0.3793,"2,715",42,0.092,403,821,59,476,444
"Highland County, Ohio",39071,0.9195,"43,007","19,326","16,646",0.9195,"8,836","1,237","22,624","4,631",0.954,"7,573","10,437","7,872","1,501",0.4138,"2,020",190,0.6322,472,"2,864",265,"1,369",557
"Hocking County, Ohio",39073,0.5862,"28,495","13,396","11,120",0.6092,"3,785",786,"24,138","2,063",0.8506,"5,219","6,366","4,907","1,055",0.0805,"1,015",56,0.7011,271,"2,310",241,584,687
"Holmes County, Ohio",39075,0.4713,"43,859","13,640","12,437",0.5632,"4,787",447,"22,923","10,761",0.0575,"5,699","14,127","3,481",510,0.5287,933,887,0.8736,212,"1,109",563,"3,673",896
"Huron County, Ohio",39077,0.6092,"58,457","25,247","22,860",0.5862,"7,845","1,411","25,375","4,628",0.5862,"9,536","14,277","7,960","2,192",0.8046,"5,711",565,0.3908,752,"1,869",290,"1,476","1,006"
"Jackson County, Ohio",39079,0.9655,"32,524","14,774","12,892",0.9655,"6,265","1,585","22,117","3,416",0.9885,"5,326","7,883","5,965","1,484",0.1839,"1,286",94,0.7931,427,"2,559",313,"1,008",357
"Jefferson County, Ohio",39081,0.7356,"66,886","32,528","27,363",0.7241,"11,647","2,366","25,658","4,593",0.6437,"13,770","12,959","12,022","2,282",0.4828,"6,399",167,0.6782,"1,614","2,093",134,"2,485","2,368"
"Knox County, Ohio",39083,0.3333,"61,215","25,731","23,340",0.5402,"8,222","1,586","25,589","3,733",0.1954,"10,538","14,028","7,939","1,925",0.3908,"2,784",300,0.3333,405,948,267,"1,836","3,528"
"Lake County, Ohio",39085,0.1379,"230,052","102,619","95,980",0.0805,"18,830","5,449","33,737","13,190",0.1609,"43,492","47,244","29,673","7,523",0.8851,"26,244","2,585",0.1724,"10,972","1,735",786,"4,588","3,161"
"Lawrence County, Ohio",39087,0.7241,"60,622","27,524","23,540",0.8391,"11,082","1,602","23,692","5,755",0.8966,"11,025","13,465","13,655","2,182",0.2759,"3,128",176,0.3563,581,"4,671",293,"1,699",682
"Licking County, Ohio",39089,0.2529,"172,293","70,647","64,016",0.2414,"19,101","4,340","30,338","10,209",0.3563,"27,141","40,368","26,245","5,579",0.5287,"16,230",676,0.2874,"2,569","2,924",993,"3,087","3,810"
"Logan County, Ohio",39091,0.4023,"45,307","23,399","18,654",0.3218,"5,984","1,103","27,840","2,705",0.3563,"7,712","10,690","6,175","1,620",0.6437,"2,966",391,0.4483,706,"2,138",475,"1,013",458
"Lorain County, Ohio",39093,0.6667,"306,713","130,429","119,536",0.5172,"40,799","9,507","29,777","21,800",0.6322,"53,050","68,799","45,673","12,402",0.908,"65,973","2,831",0.5402,"10,808","3,016","1,157","8,195","9,328"
"Lucas County, Ohio",39095,0.8966,"432,379","203,073","179,065",0.7126,"80,686","16,242","28,361","31,510",0.6552,"66,474","100,005","65,360","22,557",0.908,"134,436","3,529",0.7586,"25,474","4,563","2,139","18,358","9,615"
