FIPS,State,County,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,National Z-Score...90,county_name,state,x2018_overall_svi_score,total_population,housing_units,occupied_households,socioeconomic_score,below_poverty,unemployed,income,no_hs_diploma,house_composition_disability_score,age_65_or_older,age_17_or_under,civilian_with_a_disability,single_parent_household,minority_status_language,minority,speak_english_less_than_well,housing_type_transportation,multi_unit_structure,mobile_homes,crowding,no_vehicle,group_quarters,county
39001,Ohio,Adams,12,43.56982,2295:1,0.2916794376,Adams,Ohio,0.931,27878,12920,10835,0.9655,6230,777,21543,3942,1,4711,6850,5580,1205,0.046,1005,18,0.7126,157,3162,168,1121,383,ADAMS
39003,Ohio,Allen,66,64.9159,1540:1,-0.297177934,Allen,Ohio,0.7701,103642,45063,40537,0.6207,14795,3070,25662,7192,0.8276,17319,24117,15701,4595,0.7241,19681,387,0.7241,2741,1766,446,3406,3976,ALLEN
39005,Ohio,Ashland,23,43.96361,2275:1,0.2808164013,Ashland,Ohio,0.5747,53477,22250,20439,0.4828,6769,1067,25471,4033,0.2874,9580,12169,7352,1580,0.5517,2311,526,0.908,1013,1335,430,1411,2253,ASHLAND
39007,Ohio,Ashtabula,28,28.76604,3476:1,0.7000595258,Ashtabula,Ohio,1,98136,46107,37652,0.908,19216,3111,22817,9608,0.7126,17737,21911,15601,3491,0.6437,10156,492,0.977,2270,4037,732,3510,3506,ASHTABULA
39009,Ohio,Athens,39,62.84646,1591:1,-0.240089858,Athens,Ohio,0.9425,65936,26610,22620,0.8966,17212,2284,20745,3827,0.046,7964,9804,10810,1690,0.6782,6924,285,1,2721,4252,520,1848,9722,ATHENS
39011,Ohio,Auglaize,16,34.67632,2884:1,0.5370173882,Auglaize,Ohio,0.023,45784,19852,18723,0.069,3906,838,29908,2110,0.3333,7946,11125,4915,1557,0.1149,1931,103,0.0575,699,631,212,884,544,AUGLAIZE
39013,Ohio,Belmont,18,27.33527,3658:1,0.7395291068,Belmont,Ohio,0.4598,68472,32211,26200,0.5517,8738,1882,26106,4832,0.3563,13591,13041,10462,2114,0.2184,4896,43,0.6552,1300,2856,97,1875,4071,BELMONT
39015,Ohio,Brown,11,25.19353,3969:1,0.7986114382,Brown,Ohio,0.5402,43679,20048,17434,0.6782,6818,1154,25637,3814,0.7586,7612,10094,7108,1605,0.069,1519,64,0.5057,367,3266,305,1026,591,BROWN
39017,Ohio,Butler,203,52.02007,1922:1,0.0585691544,Butler,Ohio,0.5057,378294,151198,138226,0.2989,47601,9789,30777,23331,0.2414,52872,90144,46200,12679,0.9425,69799,4242,0.5747,14111,3907,2047,7519,11624,BUTLER
39019,Ohio,Carroll,7,26.226070000000004,3813:1,0.7701276759,Carroll,Ohio,0.1264,27578,13646,11126,0.3678,3549,611,28421,2233,0.2644,5580,5763,4019,770,0.092,1029,56,0.1839,119,1744,121,604,453,CARROLL
39021,Ohio,Champaign,6,15.504280000000001,6450:1,1.0659011954,Champaign,Ohio,0.3563,38864,16793,15209,0.4483,4180,1180,26515,2501,0.5977,6904,8783,6170,1334,0.3678,2556,104,0.2759,453,1113,189,853,850,CHAMPAIGN
39023,Ohio,Clark,61,44.974309999999996,2223:1,0.2529350305,Clark,Ohio,0.977,135198,61310,54905,0.7356,20775,4768,25948,11551,0.977,25265,30713,22560,6291,0.8966,21361,1092,0.7816,3733,2588,802,4526,3184,CLARK
39025,Ohio,Clermont,138,65.8265,1519:1,-0.322297924,Clermont,Ohio,0.0805,203216,82830,77181,0.1494,19204,4473,32900,13641,0.1149,30876,47954,27142,5636,0.3563,12890,483,0.2299,9232,4958,963,3724,1919,CLERMONT
39027,Ohio,Clinton,26,61.89887,1616:1,-0.213949325,Clinton,Ohio,0.5632,41896,18178,16370,0.5747,5277,1275,26861,3236,0.7126,6750,9859,6647,1670,0.2299,2769,70,0.6897,770,1153,304,920,1221,CLINTON
39029,Ohio,Columbiana,30,29.61208,3377:1,0.676720438,Columbiana,Ohio,0.6322,104003,46818,41854,0.7011,14639,3294,25853,9076,0.4138,20059,21521,16240,3284,0.1954,6217,199,0.8851,1678,4473,790,2812,3889,COLUMBIANA
